Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Markapuram,111,KANDULA NARAYANA REDDY,Telugu Desam i,ANNA RAMBABU,Yuvajana Sramika Rythu Congress Party i,13979,19/19,Result Declared
Mummidivaram,43,DATLA SUBBARAJU (BUCHIBABU),Telugu Desam i,PONNADA VENKATA SATISH KUMAR,Yuvajana Sramika Rythu Congress Party i,38736,20/20,Result Declared
Mydukur,133,SUDHAKAR PUTTA,Telugu Desam i,RAGHURAMI REDDY SETTIPALLY,Yuvajana Sramika Rythu Congress Party i,20950,21/21,Result Declared
Mylavaram,82,VASANTHA VENKATA KRISHNA PRASAD,Telugu Desam i,TIRAPATHIRAO SARNALA,Yuvajana Sramika Rythu Congress Party i,42829,22/22,Result Declared
Nagari,170,GALI BHANU PRAKASH,Telugu Desam i,R.K. ROJA,Yuvajana Sramika Rythu Congress Party i,45004,18/18,Result Declared
Nandigama (SC),83,TANGIRALA SOWMYA,Telugu Desam i,MONDITOKA JAGAN MOHAN RAO,Yuvajana Sramika Rythu Congress Party i,27395,17/17,Result Declared
Nandikotkur (SC),136,G JAYASURYA,Telugu Desam i,DARA SUDHEER,Yuvajana Sramika Rythu Congress Party i,9792,27/27,Result Declared
Nandyal,139,NASYAM MOHAMMED FAROOK,Telugu Desam i,SILPA RAVI CHANDRA KISHORE REDDY,Yuvajana Sramika Rythu Congress Party i,12333,21/21,Result Declared
Narasannapeta,8,BAGGU RAMANAMURTHY,Telugu Desam i,KRISHNADAS DHARMANA,Yuvajana Sramika Rythu Congress Party i,29371,21/21,Result Declared
Narasapuram,58,BOMMIDI NARAYANA NAYAKAR,Janasena Party i,NAGARAJA VARA PRASADA RAJU MUDUNURI,Yuvajana Sramika Rythu Congress Party i,49738,13/13,Result Declared
Narasaraopet,97,ARAVINDA BABU CHADALAVADA,Telugu Desam i,GOPIREDDY SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party i,19705,18/18,Result Declared
Narsipatnam,34,AYYANNAPATRUDU CHINTAKAYALA,Telugu Desam i,UMA SANKARA GANESH PETLA,Yuvajana Sramika Rythu Congress Party i,24676,19/19,Result Declared
Nellimarla,17,LOKAM NAGA MADHAVI,Janasena Party i,APPALANAIDU BADDUKONDA,Yuvajana Sramika Rythu Congress Party i,39829,18/18,Result Declared
Nellore City,117,NARAYANA PONGURU,Telugu Desam i,KHALEEL AHAMAD MD,Yuvajana Sramika Rythu Congress Party i,72489,18/18,Result Declared
Nellore Rural,118,KOTAMREDDY SRIDHAR REDDY,Telugu Desam i,ADALA PRABHAKARA REDDY,Yuvajana Sramika Rythu Congress Party i,34480,24/24,Result Declared
Nidadavole,55,KANDULA DURGESH,Janasena Party i,G.SRINIVAS NAIDU,Yuvajana Sramika Rythu Congress Party i,33304,16/16,Result Declared
Nuzvid,70,KOLUSU PARTHA SARATHY,Telugu Desam i,MEKA VENKATA PRATAP APPARAO,Yuvajana Sramika Rythu Congress Party i,12378,21/21,Result Declared
Ongole,108,DAMACHARLA JANARDHANA RAO,Telugu Desam i,BALINENI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party i,34026,19/19,Result Declared
Paderu,29,MATSYARASA VISWESWARA RAJU,Yuvajana Sramika Rythu Congress Party i,ESWARI GIDDI,Telugu Desam i,19338,23/23,Result Declared
Palacole,57,DR.NIMMALA RAMANAIDU,Telugu Desam i,GUDALA SRI HARI GOPALA RAO (GUDALA GOPI),Yuvajana Sramika Rythu Congress Party i,67945,14/14,Result Declared
Palakonda,10,JAYAKRISHNA NIMMAKA,Janasena Party i,VISWASARAYI KALAVATHI,Yuvajana Sramika Rythu Congress Party i,13291,21/21,Result Declared
Palamaner,174,AMARANATHA REDDY. N,Telugu Desam i,VENKATE GOWDA. N,Yuvajana Sramika Rythu Congress Party i,20122,21/21,Result Declared
Palasa,2,GOUTHU SIREESHA,Telugu Desam i,APPALARAJU SEEDIRI,Yuvajana Sramika Rythu Congress Party i,40350,21/21,Result Declared
Pamarru (SC),77,KUMAR RAJA VARLA,Telugu Desam i,ANIL KUMAR KAILE,Yuvajana Sramika Rythu Congress Party i,29690,17/17,Result Declared
Panyam,138,GOWRU CHARITHA REDDY,Telugu Desam i,KATASANI RAMABHUPAL REDDY,Yuvajana Sramika Rythu Congress Party i,40591,26/26,Result Declared
Parchur,104,YELURI SAMBASIVA RAO,Telugu Desam i,YADAM BALAJI,Yuvajana Sramika Rythu Congress Party i,24013,22/22,Result Declared
Parvathipuram,12,BONELA VIJAYA CHANDRA,Telugu Desam i,ALAJANGI JOGARAO,Yuvajana Sramika Rythu Congress Party i,24414,17/17,Result Declared
Pathapatnam,4,MAMIDI GOVINDA RAO,Telugu Desam i,REDDY SHANTHI,Yuvajana Sramika Rythu Congress Party i,26527,24/24,Result Declared
Pattikonda,142,K.E. SHYAM KUMAR,Telugu Desam i,KANGATI SREEDEVI,Yuvajana Sramika Rythu Congress Party i,14211,19/19,Result Declared
Payakaraopet,33,ANITHA VANGALAPUDI,Telugu Desam i,JOGULU KAMBALA,Yuvajana Sramika Rythu Congress Party i,43727,21/21,Result Declared
Pedakurapadu,85,BHASHYAM PRAVEEN,Telugu Desam i,NAMBURU SANKARA RAO,Yuvajana Sramika Rythu Congress Party i,21089,20/20,Result Declared
Pedana,74,KAGITHA KRISHNAPRASAD,Telugu Desam i,UPPALA RAMESH(RAMU),Yuvajana Sramika Rythu Congress Party i,38123,17/17,Result Declared
Peddapuram,39,CHINA RAJAPPA NIMMAKAYALA,Telugu Desam i,DAVULURI DORABABU,Yuvajana Sramika Rythu Congress Party i,40451,15/15,Result Declared
Penamaluru,78,BODE PRASAD,Telugu Desam i,JOGI RAMESH,Yuvajana Sramika Rythu Congress Party i,59915,23/23,Result Declared
Pendurthi,31,PANCHAKARLA RAMESH BABU,Janasena Party i,ANNAMREDDY ADEEP RAJ,Yuvajana Sramika Rythu Congress Party i,81870,22/22,Result Declared
Penukonda,158,S. SAVITHA,Telugu Desam i,K.V. USHA SHRICHARAN,Yuvajana Sramika Rythu Congress Party i,33388,19/19,Result Declared
Pileru,163,NALLARI KISHAN KUMAR REDDY,Telugu Desam i,CHINTHALA RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party i,25081,21/21,Result Declared
Pithapuram,37,KONIDALA PAWAN KALYAN,Janasena Party i,VANGA GEETHA VISWANATH,Yuvajana Sramika Rythu Congress Party i,70279,18/18,Result Declared
Polavaram,67,CHIRRI BALARAJU,Janasena Party i,TELLAM RAJYA LAKSHMI,Yuvajana Sramika Rythu Congress Party i,7935,21/21,Result Declared
Ponnur,88,DHULIPALLA NARENDRA KUMAR,Telugu Desam i,AMBATI MURALI KRISHNA,Yuvajana Sramika Rythu Congress Party i,32915,19/19,Result Declared
Prathipadu,36,VARUPULA SATYA PRABHA,Telugu Desam i,VARUPULA SUBBARAO,Yuvajana Sramika Rythu Congress Party i,38768,17/17,Result Declared
Prathipadu (SC),93,BURLA RAMANJANEYULU,Telugu Desam i,BALASANI KIRAN KUMAR,Yuvajana Sramika Rythu Congress Party i,42015,22/22,Result Declared
Proddatur,132,NANDYALA VARADA RAJULA REDDY,Telugu Desam i,RACHAMALLU SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress Party i,22744,20/20,Result Declared
Pulivendla,129,YS JAGAN MOHAN REDDY,Yuvajana Sramika Rythu Congress Party i,B.TECH RAVI,Telugu Desam i,61687,23/23,Result Declared
Punganur,165,PEDDIREDDI RAMACHANDRA REDDY,Yuvajana Sramika Rythu Congress Party i,CHALLA RAMACHANDRA REDDY,Telugu Desam i,6095,19/19,Result Declared
Puthalapattu (SC),173,K MURALI MOHAN,Telugu Desam i,M SUNEEL KUMAR,Yuvajana Sramika Rythu Congress Party i,15634,20/20,Result Declared
Puttaparthi,159,PALLE SINDHURA REDDY,Telugu Desam i,DUDDUKUNTA SREEDHAR REDDY,Yuvajana Sramika Rythu Congress Party i,8760,18/18,Result Declared
Rajahmundry City,50,ADIREDDY SRINIVAS,Telugu Desam i,MARGANI BHARAT RAM,Yuvajana Sramika Rythu Congress Party i,71404,18/18,Result Declared
Rajahmundry Rural,51,GORANTLA BUTCHAIAH CHOUDARY,Telugu Desam i,GOPALAKRISHNA CHELLUBOYINA(VENU),Yuvajana Sramika Rythu Congress Party i,64090,20/20,Result Declared
Rajam,9,KONDRU MURALI MOHAN,Telugu Desam i,DR. TALE RAJESH,Yuvajana Sramika Rythu Congress Party i,20722,21/21,Result Declared
Rajampet,125,AKEPATI AMARNATH REDDY,Yuvajana Sramika Rythu Congress Party i,BALA SUBRAMANYAM SUGAVASI,Telugu Desam i,7016,21/21,Result Declared
Rajanagaram,49,BATHULA BALARAMAKRISHNA S/O GANGARAO,Janasena Party i,JAKKAMPUDI RAJA,Yuvajana Sramika Rythu Congress Party i,34049,16/16,Result Declared
Ramachandrapuram,42,VASAMSETTI. SUBASH,Telugu Desam i,PILLI SURYA PRAKASH,Yuvajana Sramika Rythu Congress Party i,26291,25/25,Result Declared
Rampachodavaram,53,MIRIYALA SIRISHA DEVI,Telugu Desam i,NAGULAPALLI DHANALAKSHMI,Yuvajana Sramika Rythu Congress Party i,9139,20/20,Result Declared
Raptadu,155,PARITALA SUNITHAMMA,Telugu Desam i,THOPUDURTHI PRAKASH REDDY,Yuvajana Sramika Rythu Congress Party i,23329,21/21,Result Declared
Rayachoti,128,MANDIPALLI RAMPRASAD REDDY,Telugu Desam i,GADIKOTA SRIKANTH REDDY,Yuvajana Sramika Rythu Congress Party i,2495,21/21,Result Declared
Rayadurg,148,KALAVA SRINIVASULU,Telugu Desam i,METTU GOVINDA REDDY,Yuvajana Sramika Rythu Congress Party i,41659,22/22,Result Declared
Razole,45,DEVA VARAPRASAD,Janasena Party i,GOLLAPALLI SURYA RAO,Yuvajana Sramika Rythu Congress Party i,39011,16/16,Result Declared
Repalle,90,ANAGANI SATYA PRASAD,Telugu Desam i,EVURU GANESH,Yuvajana Sramika Rythu Congress Party i,39947,19/19,Result Declared
Salur,13,GUMMIDI SANDHYARANI,Telugu Desam i,RAJANNA DORA PEEDIKA,Yuvajana Sramika Rythu Congress Party i,13733,18/18,Result Declared
Santhanuthalapadu (SC),107,VIJAY KUMAR B.N,Telugu Desam i,NAGARJUNA MERUGU,Yuvajana Sramika Rythu Congress Party i,30385,20/20,Result Declared
Sarvepalli,119,CHANDRA MOHAN REDDY SOMIREDDY,Telugu Desam i,KAKANI GOVARDHAN REDDY,Yuvajana Sramika Rythu Congress Party i,16288,21/21,Result Declared
Sattenapalle,98,KANNA LAKSHMINARAYANA,Telugu Desam i,AMBATI RAMBABU,Yuvajana Sramika Rythu Congress Party i,27836,21/21,Result Declared
Satyavedu,169,KONETI ADIMULAM,Telugu Desam i,NUKATHOTI RAJESH,Yuvajana Sramika Rythu Congress Party i,3739,20/20,Result Declared
Singanamala (SC),152,BANDARU SRAVANI SREE,Telugu Desam i,M.VEERANJANEYULU,Yuvajana Sramika Rythu Congress Party i,8788,22/22,Result Declared
Srikakulam,5,GONDU SHANKAR,Telugu Desam i,DHARMANA PRASADA RAO,Yuvajana Sramika Rythu Congress Party i,52521,20/20,Result Declared
Srikalahasti,168,BOJJALA VENKATA SUDHIR REDDY,Telugu Desam i,BIYYAPU MADHUSUDHAN REDDY,Yuvajana Sramika Rythu Congress Party i,43304,21/21,Result Declared
Srisailam,135,BUDDA RAJASEKHARA REDDY,Telugu Desam i,SILPA CHAKRAPANI REDDY,Yuvajana Sramika Rythu Congress Party i,6385,23/23,Result Declared
Srungavarapukota,19,KOLLA LALITHA KUMARI,Telugu Desam i,KADUBANDI SRINIVASA RAO,Yuvajana Sramika Rythu Congress Party i,38790,21/21,Result Declared
Sullurpeta,121,NELAVALA VIJAYASREE,Telugu Desam i,KILIVETI SANJEEVAIAH,Yuvajana Sramika Rythu Congress Party i,29115,22/22,Result Declared
Tadepalligudem,62,BOLISETTY SRINIVAS,Janasena Party i,KOTTU SATYANARAYANA,Yuvajana Sramika Rythu Congress Party i,62492,15/15,Result Declared
Tadikonda (SC),86,TENALI SRAVAN KUMAR,Telugu Desam i,SUCHARITHA MEKATHOTI,Yuvajana Sramika Rythu Congress Party i,39606,18/18,Result Declared
Tadpatri,151,ASHMIT REDDY J.C,Telugu Desam i,KETHIREDDY PEDDAREDDY,Yuvajana Sramika Rythu Congress Party i,27731,20/20,Result Declared
Tanuku,61,ARIMILLI RADHA KRISHNA,Telugu Desam i,KARUMURI VENKATA NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party i,72121,17/17,Result Declared
Tekkali,3,ATCHANNAIDU KINJARAPU,Telugu Desam i,DUVVADA SRINIVAS,Yuvajana Sramika Rythu Congress Party i,34435,24/24,Result Declared
Tenali,91,NADENDLA MANOHAR,Janasena Party i,ANNABATHUNI SIVAKUMAR,Yuvajana Sramika Rythu Congress Party i,48112,21/21,Result Declared
Thamballapalle,162,P. DWARAKANATHA REDDY,Yuvajana Sramika Rythu Congress Party i,D. JAYACHANDRA REDDY,Telugu Desam i,10103,18/18,Result Declared
Tirupati,167,ARANII SRENEVASULU,Janasena Party i,BHUMANA ABHINAY,Yuvajana Sramika Rythu Congress Party i,61956,20/20,Result Declared
Tiruvuru (SC),69,KOLIKAPUDI SRINIVASA RAO,Telugu Desam i,NALLAGATLA SWAMY DAS,Yuvajana Sramika Rythu Congress Party i,21874,18/18,Result Declared
Tuni,35,DIVYA YANAMALA,Telugu Desam i,DADISETTI RAJA,Yuvajana Sramika Rythu Congress Party i,15177,16/16,Result Declared
Udayagiri,123,KAKARLA SURESH,Telugu Desam i,MEKAPATI RAJAGOPAL REDDY,Yuvajana Sramika Rythu Congress Party i,9621,24/24,Result Declared
Undi,60,KANUMURU RAGHU RAMA KRISHNA RAJU (R R R),Telugu Desam i,PENMETSA VENKATA LAKSHMI NARASIMHA RAJU (P.V.L),Yuvajana Sramika Rythu Congress Party i,56777,18/18,Result Declared
Ungutur,63,DHARMARAJU PATSAMATLA,Janasena Party i,PUPPALA SRINIVASA RAO (VASU BABU),Yuvajana Sramika Rythu Congress Party i,44945,17/17,Result Declared
Uravakonda,149,PAYYAVULA KESHAV,Telugu Desam i,Y. VISWESWARA REDDY,Yuvajana Sramika Rythu Congress Party i,21704,15/15,Result Declared
